구분,QA
질문,서비스 이용 요금은 어떻게 되나요? 무료로 사용 가능합니다.
질문,한 계정에 여러 명의 어르신을 등록할 수 있나요? 한 계정에 최대 2명을 등록할 수 있습니다.
질문,등록된 어르신의 정보를 수정하려면 어떻게 해야 하나요? 마이페이지에서 등록된 어르신
질문,어르신을 위해 어떤 상품을 주문할 수 있나요? 기본적인 생필품을 구매하실 수 있습니다.
질문,구매 내역을 어디서 확인할 수 있나요? 주문 내역에서 확인 가능합니다.
질문,특정 상품을 즐겨찾기에 추가할 수 있나요? 장바구니 기능이 있습니다.
질문,주문한 상품의 배송 상태를 어떻게 확인하나요? 주문 내역에서 확인 가능합니다.
질문,결제 방법은 어떤 것들이 있나요? 신용카드/체크카드 결제 및 가상계좌 결제가 가능합니다.
질문,주문한 상품을 반품하거나 교환할 수 있나요? 반품이나 교환은 어렵습니다. 하지만 제품 자체에 문제가 있는경우 환불처리 가능합니다.
질문,어르신의 건강 상태를 어떻게 확인할 수 있나요? 보호자 페이지에 있는 대시보드에서 확인이 가능합니다.
질문,다른 보호자들과 소통할 수 있는 방법이 있나요? 커뮤니티에서 소통 가능합니다.
질문,어르신의 건강 정보는 안전하게 관리되나요? 암호화되어 안전하게 관리되고있습니다.
질문,개인정보를 수정하려면 어떻게 해야 하나요? 마이페이지에서 수정 가능합니다.
질문,다른 가족 구성원도 계정을 만들 수 있나요? 가족 구성원 당 한 명만 계정 생성 가능합니다.
질문,어르신 상태 업데이트 빈도는 어떻게 되나요? 월 4회 입니다.
질문,서비스 사용 중 생기는 문제를 어떻게 신고하나요? 챗봇을 통한 답변이 나오지 않을 경우 온새미로 연락 부탁드립니다.
질문,커뮤니티에서 자주 묻는 질문은 어디서 확인할 수 있나요? 따로 FAQ페이지를 운영하고 있지 않습니다. 챗봇을 통한 답변이 나오지 않을 경우 온새미로 연락 부탁드립니다.
질문,어르신의 건강 정보 입력은 누가 할 수 있나요? 첫 가입시 보호자님이 작성후 봉사자가 관리합니다.
교통지원,"대중교통 지원 해줘? 네 지원합니다. 월 15회 이상 대중교통 이용 비용의 일정비율에 대해 환급 지원합니다. 일반 20%, 청년(19~34세) 30%, 저소득 53% 환급 지원합니다."
교통지원,"대중교통 지원 대상이 어떻게 돼? 만 19세 이상 국민 중 월 15회 이상 대중교통 이용자를 대상으로 지원합니다. 외국인 등록번호가 있는 외국인에 한해 회원가입 가능합니다. 외국인 등록번호로 거소사실 여부를 확인할 수 없다면, """"홈페이지""""로 가입 가능합니다. "
교통지원,"대중교통 지원비 신청 방법은 어떻게 돼? 별도 신청 없이 직접 지원합니다. (단, K-패스 카드 발급 및 회원가입 필요)"
교통지원,"대중교통 지원에 대해서 문의 하고 싶은데 전화 번호가 뭐야?  K-패스 고객센터 : 031-427-4415, 국토교통부 : 1599-0001 입니다."
일자리,노인 일자리 지원 사업이 있어? 네 있습니다. 보건복지부 노인지원과에서 담당하고 있는 노인일자리 및 사회활동 지원사업을 진행하고 있습니다. 이 사업으로 활기차고 건강한 노후생활을 영위할 수 있도록 다양한 일자리를 제공하고 사회활동을 지원하여 노인 복지 향상에 기여합니다.
일자리,"노인 일자리 및 사회활동 지원사업의 지원대상은 어떻게 돼? 사회활동 지원사업 참여 조건에 부합하는 65세 이상 어르신을 지원하며, 일부 사업의 경우 60세 이상인 분들도 지원 가능합니다."
일자리,"노인 일자리 및 사회활동 지원사업의 신청방법은 어떻게 돼? 방법은 2가지가 있습니다. 첫 번째 방법은 지방자치단체별 행정복지센터(구, 동사무소)나, 가까운 노인일자리 수행기관을 방문하여 신청이 가능합니다. 두 번째 방법은 노인일자리 여기(www.seniorro.or.ke), 복지로(www.bokjiro.go.kr), 정부24(www.gov.kr))을 통해 온라인 신청이 가능합니다. - 복지로 온라인신청 경로 : 복지로 로그인 > 서비스 신청 > 민원서비스 신청 > 민원서비스 신청 > 노인일자리사업"
일자리,"노인 일자리 및 사회활동 지원사업에 대해서 문의하고 싶은데 전화번호가 어떻게 돼? 보건복지부 : 129, 한국노인인력개발원 : 1544-3388 입니다."
의료지원,"노인을 위한 치과 치료에 대한 지원 사업이 있어? 네 있습니다. 보건복지부 기초의료보장과에서 담당하고 있는 의료급여 틀니, 치과 임플란트 지원 사업을 진행하고 있습니다. 틀니 및 치과임플란트에 대하여 의료급여를 실시하여 65세 이상 노인 수급권자의 경제적 부담을 완화하고 구강건강 향상을 도모합니다."
의료지원,"의료급여 틀니, 치과임플란트 지원 사업의 지원 대상자이 어떻게 되나요? 의료급여 틀니, 치과임플란트 지원 사업의 지원 대상은 만 65세 이상 의료급여 수급권자를 대상으로 합니다. 노인 틀니는 만 65세 이상 의료급여 수급권자, 치과임플란트는 만 65세 이상 부분 무치악 환자를 대상으로 합니다."
의료지원,"의료급여 틀니, 치과 임플란트 지원 사업 신청 방법은 어떻게 돼? 틀니, 치과임플란트 대상자 사전등록제를 운영합니다. 치과 병·의원에서 시술 전에 국민건강보험공단 등록시스템(요양기관 정보마당)을 통해 직접 등록합니다. 또는 의료급여 수급권자가 발급받은 틀니(치과임플란트) 등록신청서를 관할 시군구청 또는 읍면동에 방문하여 제출·등록 후 시술합니다."
의료지원,"의료급여 틀니, 치과 임플란트 지원 사업에 대해서 문의하고 싶은데 전화번호가 어떻게 돼? 보건복지상담센터 : 129, 건강보험심사평가원 : 1644-2000, 보건복지부기초의료보장과 : 044-202-3098 입니다."
